# Label,Order,Size,Colour,x,y,Level 0,Level 1,Level 2
E1  0NL,,1,,536050,181409,E,  E1  ,   E1  0   
E1  0NN,,1,,536031,181444,E,  E1  ,   E1  0   
E1  0NP,,1,,536040,181666,E,  E1  ,   E1  0   
E1  0NQ,,1,,536012,181401,E,  E1  ,   E1  0   
E1  0NR,,1,,535976,181591,E,  E1  ,   E1  0   
E1  0NS,,1,,535998,181202,E,  E1  ,   E1  0   
E1  0NT,,1,,536051,181367,E,  E1  ,   E1  0   
E1  0NU,,1,,535949,181348,E,  E1  ,   E1  0   
E1  0NW,,1,,536059,181625,E,  E1  ,   E1  0   
E1  0NX,,1,,535966,181440,E,  E1  ,   E1  0   
E1  0NY,,1,,536104,181646,E,  E1  ,   E1  0   
E1  0NZ,,1,,536106,181606,E,  E1  ,   E1  0   
E1  0PB,,1,,535459,181426,E,  E1  ,   E1  0   
E1  0PD,,1,,535354,181420,E,  E1  ,   E1  0   
E1  0PE,,1,,535383,181465,E,  E1  ,   E1  0   
E1  0PF,,1,,535357,181496,E,  E1  ,   E1  0   
E1  0PG,,1,,535281,181432,E,  E1  ,   E1  0   
E1  0PH,,1,,535326,181308,E,  E1  ,   E1  0   
E1  0PJ,,1,,535333,181377,E,  E1  ,   E1  0   
E1  0PL,,1,,535261,181412,E,  E1  ,   E1  0   
E1  0PN,,1,,535331,181342,E,  E1  ,   E1  0   
E1  0PP,,1,,535571,181362,E,  E1  ,   E1  0   
E1  0PQ,,1,,535486,181383,E,  E1  ,   E1  0   
E1  0PR,,1,,535630,181217,E,  E1  ,   E1  0   
E1  0PS,,1,,535575,181251,E,  E1  ,   E1  0   
E1  0PT,,1,,535618,181314,E,  E1  ,   E1  0   
E1  0PU,,1,,535600,181378,E,  E1  ,   E1  0   
E1  0PW,,1,,535256,181318,E,  E1  ,   E1  0   
E1  0PX,,1,,535257,181352,E,  E1  ,   E1  0   
E1  0PY,,1,,535525,181392,E,  E1  ,   E1  0   
E1  0PZ,,1,,535565,181392,E,  E1  ,   E1  0   
E1  0QA,,1,,535793,181212,E,  E1  ,   E1  0   
E1  0QB,,1,,535725,181275,E,  E1  ,   E1  0   
E1  0QD,,1,,535761,181283,E,  E1  ,   E1  0   
E1  0QE,,1,,535698,181407,E,  E1  ,   E1  0   
E1  0QF,,1,,535698,181305,E,  E1  ,   E1  0   
E1  0QG,,1,,535642,181349,E,  E1  ,   E1  0   
E1  0QH,,1,,535605,181431,E,  E1  ,   E1  0   
E1  0QJ,,1,,535636,181509,E,  E1  ,   E1  0   
E1  0QL,,1,,535579,181520,E,  E1  ,   E1  0   
E1  0QN,,1,,535707,181234,E,  E1  ,   E1  0   
E1  0QQ,,1,,535648,181407,E,  E1  ,   E1  0   
E1  0QW,,1,,535657,181462,E,  E1  ,   E1  0   
E1  0RA,,1,,535834,181279,E,  E1  ,   E1  0   
E1  0RB,,1,,535846,181393,E,  E1  ,   E1  0   
E1  0RD,,1,,535846,181393,E,  E1  ,   E1  0   
E1  0RE,,1,,535788,181338,E,  E1  ,   E1  0   
E1  0RF,,1,,535783,181393,E,  E1  ,   E1  0   
E1  0RG,,1,,535855,181452,E,  E1  ,   E1  0   
E1  0RH,,1,,535821,181528,E,  E1  ,   E1  0   
E1  0RJ,,1,,535782,181478,E,  E1  ,   E1  0   
E1  0RQ,,1,,535882,181428,E,  E1  ,   E1  0   
E1  0SA,,1,,535462,181289,E,  E1  ,   E1  0   
E1  0SB,,1,,535433,181328,E,  E1  ,   E1  0   
E1  0SD,,1,,535450,181367,E,  E1  ,   E1  0   
E1  0SE,,1,,535419,181397,E,  E1  ,   E1  0   
E1  0SF,,1,,535399,181366,E,  E1  ,   E1  0   
E1  0SG,,1,,535382,181278,E,  E1  ,   E1  0   
E1  0SH,,1,,535503,181285,E,  E1  ,   E1  0   
E1  0SQ,,1,,535409,181297,E,  E1  ,   E1  0   
E1  1AA,,1,,534833,181799,E,  E1  ,   E1  1   
E1  1BA,,1,,534776,181793,E,  E1  ,   E1  1   
